Entity,Year,Annual_CO2_emissions_per_capita,Continent,Population
Qatar,2000,62.41147,Asia,645937.0
United Arab Emirates,2000,34.137882,Asia,3275333.0
Kuwait,2000,28.368042,Asia,1934901.0
Bahrain,2000,27.034748,Asia,711442.0
Brunei,2000,15.957318,Asia,333926.0
Others,2000,2.441417572312502,Asia,3729136302.0
Total Emissions,2000,2.498892590259576,Asia,3736037841.0
Luxembourg,2000,19.9792,Europe,435628.0
Faroe Islands,2000,15.078189,Europe,45660.0
Czech Republic,2000,12.431808,Europe,10234710.0
Belgium,2000,12.345792,Europe,10264343.0
Ireland,2000,12.005748,Europe,3768950.0
Others,2000,8.341653577839129,Europe,700087347.0
Total Emissions,2000,8.482579697116151,Europe,724836638.0
Libya,2000,10.327976,Africa,5154790.0
South Africa,2000,8.081188,Africa,46813266.0
Gabon,2000,4.8141956,Africa,1272935.0
Equatorial Guinea,2000,3.9406133,Africa,684977.0
Seychelles,2000,3.935209,Africa,80060.0
Others,2000,0.646262682897747,Africa,746925320.0
Total Emissions,2000,1.152904995869292,Africa,800931348.0
United States,2000,21.282457,North America,282398554.0
Canada,2000,18.482231,North America,30683313.0
Trinidad and Tobago,2000,18.290224,North America,1332203.0
Sint Maarten,2000,18.107855,North America,30489.0
Greenland,2000,11.881094,North America,56184.0
Others,2000,2.944295493120325,North America,166470063.0
Total Emissions,2000,14.747161444906284,North America,480970806.0
Curacao,2000,35.282955,South America,141424.0
Aruba,2000,26.683304,South America,89101.0
Venezuela,2000,5.8472433,South America,24427729.0
Suriname,2000,4.57682,South America,478998.0
Argentina,2000,3.8511531,South America,37070774.0
Others,2000,1.8224589246456397,South America,287489350.0
Total Emissions,2000,2.3423032087922304,South America,349697376.0
Australia,2000,18.404053,Oceania,19017963.0
Palau,2000,10.57726,Oceania,19726.0
New Caledonia,2000,10.022451,Oceania,221537.0
New Zealand,2000,8.364016,Oceania,3855266.0
Nauru,2000,8.103077,Oceania,10377.0
Others,2000,0.6823464630108187,Oceania,7797487.0
Total Emissions,2000,12.615040379688205,Oceania,30922356.0
