Entity,Code,Year,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change,Annual_CO2_emissions,Continent
China,CHN,2022,12378281000.0,981503740.0,11396777000.0,Asia
India,IND,2022,2864052200.0,34407930.0,2829644300.0,Asia
Japan,JPN,2022,1058026900.0,4229025.5,1053797800.0,Asia
Indonesia,IDN,2022,1647496700.0,918613400.0,728883260.0,Asia
Iran,IRN,2022,677453900.0,-13181350.0,690635260.0,Asia
Russia,RUS,2022,1965206800.0,313029470.0,1652177300.0,Europe
Germany,DEU,2022,657515900.0,-8088792.5,665604700.0,Europe
Italy,ITA,2022,298672200.0,-39425080.0,338097280.0,Europe
Poland,POL,2022,287777340.0,-35339976.0,323117300.0,Europe
United Kingdom,GBR,2022,334584960.0,15930595.0,318654370.0,Europe
South Africa,ZAF,2022,405180260.0,1126277.0,404053980.0,Africa
Egypt,EGY,2022,259401740.0,450085.78,258951660.0,Africa
Algeria,DZA,2022,178270300.0,1925175.6,176345140.0,Africa
Nigeria,NGA,2022,134497950.0,5738483.5,128759470.0,Africa
Morocco,MAR,2022,61195450.0,-7216358.0,68411810.0,Africa
United States,USA,2022,5199053000.0,141749500.0,5057303600.0,North America
Canada,CAN,2022,665826500.0,117882600.0,547943900.0,North America
Mexico,MEX,2022,862685800.0,350713820.0,511971970.0,North America
Trinidad and Tobago,TTO,2022,34105190.0,-226545.11,34331736.0,North America
Dominican Republic,DOM,2022,22714068.0,-923877.6,23637946.0,North America
Brazil,BRA,2022,1596468700.0,1112991500.0,483477300.0,South America
Argentina,ARG,2022,218890020.0,26025576.0,192864430.0,South America
Colombia,COL,2022,136969020.0,37251150.0,99717870.0,South America
Chile,CHL,2022,109530900.0,25153178.0,84377720.0,South America
Venezuela,VEN,2022,84028920.0,7136922.5,76892000.0,South America
Australia,AUS,2022,376877630.0,-15401623.0,392279260.0,Oceania
New Zealand,NZL,2022,34777052.0,2565239.5,32211814.0,Oceania
Papua New Guinea,PNG,2022,30379310.0,22556170.0,7823140.0,Oceania
New Caledonia,NCL,2022,,,5115215.0,Oceania
Fiji,FJI,2022,1375802.0,301876.97,1073925.0,Oceania
