Entity,Year,Total_CO2_emissions,Continent
Afghanistan,2000,1047127.94,Asia
Albania,2000,3024926.0,Europe
Algeria,2000,85398600.0,Africa
Andorra,2000,523952.0,Europe
Angola,2000,15995108.0,Africa
Anguilla,2000,76944.0,North America
Antigua and Barbuda,2000,355408.0,North America
Argentina,2000,142765220.0,South America
Armenia,2000,3491407.0,Asia
Aruba,2000,2377936.0,South America
Australia,2000,350007680.0,Oceania
Austria,2000,66171724.0,Europe
Azerbaijan,2000,29765310.0,Asia
Bahamas,2000,2026192.0,North America
Bahrain,2000,19233764.0,Asia
Bangladesh,2000,26524610.0,Asia
Barbados,2000,1748824.0,North America
Belarus,2000,54905984.0,Europe
Belgium,2000,126721544.0,Europe
Belize,2000,395712.0,North America
Benin,2000,1472928.0,Africa
Bermuda,2000,516623.97,North America
Bhutan,2000,396871.0,Asia
Bolivia,2000,8433878.0,South America
Bonaire Sint Eustatius and Saba,2000,66885.0,North America
Bosnia and Herzegovina,2000,13702201.0,Europe
Botswana,2000,3777584.0,Africa
Brazil,2000,340183000.0,South America
British Virgin Islands,2000,117248.0,North America
Brunei,2000,5328739.0,Asia
Bulgaria,2000,45413456.0,Europe
Burkina Faso,2000,1029710.06,Africa
Burundi,2000,271136.0,Africa
Cambodia,2000,1974896.0,Asia
Cameroon,2000,5588569.0,Africa
Canada,2000,567096100.0,North America
Cape Verde,2000,296784.0,Africa
Central African Republic,2000,234496.0,Africa
Chad,2000,487512.0,Africa
Chile,2000,58502596.0,South America
China,2000,3649201000.0,Asia
Colombia,2000,56591360.0,South America
Comoros,2000,102592.0,Africa
Congo,2000,4284250.0,Africa
Cook Islands,2000,51296.0,Oceania
Costa Rica,2000,5393873.0,North America
Cote d'Ivoire,2000,6633573.0,Africa
Croatia,2000,19660010.0,Europe
Cuba,2000,25775496.0,North America
Curacao,2000,4990174.0,South America
Cyprus,2000,7104597.0,Asia
Czechia,2000,127235980.0,Europe
Democratic Republic of Congo,2000,1704731.0,Africa
Denmark,2000,54306576.0,Europe
Djibouti,2000,366400.0,Africa
Dominica,2000,102592.0,North America
Dominican Republic,2000,18991626.0,North America
East Timor,2000,219860.0,Asia
Ecuador,2000,20927296.0,South America
Egypt,2000,143836050.0,Africa
El Salvador,2000,5670975.0,North America
Equatorial Guinea,2000,2699265.0,Africa
Eritrea,2000,604433.0,Africa
Estonia,2000,15481725.0,Europe
Eswatini,2000,1209120.0,Africa
Ethiopia,2000,3462855.0,Africa
Faroe Islands,2000,688832.0,Europe
Fiji,2000,814852.0,Oceania
Finland,2000,57010000.0,Europe
France,2000,406507520.0,Europe
French Polynesia,2000,611888.0,Oceania
Gabon,2000,6128187.0,Africa
