Entity,Year,Total_CO2_emissions,Continent,Population
Afghanistan,2022,12147948.035451248,Asia,41128771.0
Albania,2022,4954735.1041284,Europe,2842321.0
Algeria,2022,176345126.1748175,Africa,44903225.0
Andorra,2022,368557.2742464,Europe,79824.0
Angola,2022,16070264.73400894,Africa,35588987.0
Anguilla,2022,138791.944468,North America,15857.0
Antigua and Barbuda,2022,602134.2187435001,North America,93763.0
Argentina,2022,192864412.94890139,South America,45510318.0
Armenia,2022,6407752.9118427,Asia,2780469.0
Aruba,2022,865760.1887800001,South America,106445.0
Australia,2022,392279318.89915603,Oceania,26177413.0
Austria,2022,61488422.69358309,Europe,8939617.0
Azerbaijan,2022,38062641.5479642,Asia,10358074.0
Bahamas,2022,2119974.0890752,North America,409984.0
Bahrain,2022,37795568.967842005,Asia,1472233.0
Bangladesh,2022,102103341.240726,Asia,171186372.0
Barbados,2022,1232788.8596855002,North America,281635.0
Belarus,2022,58801113.543572396,Europe,9534954.0
Belgium,2022,89605411.793898,Europe,11655930.0
Belize,2022,725207.7392112,North America,405272.0
Benin,2022,8432160.028768001,Africa,13352864.0
Bermuda,2022,445248.43233680003,North America,64184.0
Bhutan,2022,1055525.3788690001,Asia,782455.0
Bolivia,2022,21493733.292126,South America,12224110.0
Bosnia and Herz.,2022,19735685.282619,Europe,3233526.0
Botswana,2022,7467281.459496,Africa,2630296.0
Brazil,2022,483477287.40398514,South America,215313498.0
British Virgin Islands,2022,156648.8957985,North America,31305.0
Brunei,2022,10753688.149402,Asia,449002.0
Bulgaria,2022,46147483.1494902,Europe,6781953.0
Burkina Faso,2022,5962167.06961614,Africa,22673762.0
Burundi,2022,798450.5856292,Africa,12889576.0
Cambodia,2022,19955031.487754997,Asia,16767842.0
Cameroon,2022,9572649.20345344,Africa,27914536.0
Canada,2022,547943857.740324,North America,38454327.0
Cape Verde,2022,568765.5343335,Africa,593149.0
Central African Rep.,2022,226225.83679684,Africa,5579144.0
Chad,2022,2369204.36455005,Africa,17723315.0
Chile,2022,84377709.28943819,South America,19603733.0
China,2022,11396776697.567457,Asia,1425887337.0
Colombia,2022,99717861.7021968,South America,51874024.0
Comoros,2022,412755.56955418,Africa,836774.0
Congo,2022,7431922.2998328,Africa,5970424.0
Cook Islands,2022,67959.1049034,Oceania,17011.0
Costa Rica,2022,7888683.0498549,North America,5180829.0
Croatia,2022,17526072.218369998,Europe,4030358.0
Cuba,2022,20921009.945613302,North America,11212191.0
Curacao,2022,1756598.145141,South America,191163.0
Cyprus,2022,7029335.271616,Asia,1251488.0
Czechia,2022,97969256.034465,Europe,10493986.0
Dem. Rep. Congo,2022,3601594.679630304,Africa,99010212.0
Denmark,2022,29059316.384021,Europe,5882261.0
Djibouti,2022,453035.19513268,Africa,1120849.0
Dominica,2022,153175.77906610002,North America,72737.0
Dominican Rep.,2022,23637944.9219477,North America,11228821.0
Timor-Leste,2022,668890.99613072,Asia,1341296.0
Ecuador,2022,41613403.127299994,South America,18001000.0
Egypt,2022,258951675.24991798,Africa,110990103.0
El Salvador,2022,7714378.5737456,North America,6336392.0
