#  Florida 12-Month Period Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
201101,80.3,-0.6
201102,81.1,0.2
201103,81.8,0.9
201104,82.2,1.3
201105,82.2,1.3
201106,82.2,1.3
201107,82.2,1.3
201108,82.3,1.4
201109,82.2,1.3
201110,81.9,1.0
201111,81.9,1.0
201112,82.8,1.9
201201,83.3,2.4
201202,83.3,2.4
201203,83.6,2.7
201204,83.4,2.5
201205,83.4,2.5
201206,82.9,2.0
201207,82.9,2.0
201208,82.7,1.8
201209,82.6,1.7
201210,82.7,1.8
201211,82.4,1.5
201212,82.4,1.5
201301,82.6,1.7
201302,82.5,1.6
201303,81.7,0.8
201304,81.6,0.7
201305,81.3,0.4
201306,81.5,0.6
201307,81.2,0.3
201308,81.3,0.4
201309,81.3,0.4
201310,81.4,0.5
201311,81.7,0.8
201312,81.8,0.9
201401,81.0,0.1
201402,81.1,0.2
201403,81.3,0.4
201404,81.2,0.3
201405,81.4,0.5
201406,81.4,0.5
201407,81.6,0.7
201408,81.7,0.8
201409,81.7,0.8
201410,81.7,0.8
201411,81.3,0.4
201412,81.1,0.2
201501,81.4,0.5
201502,80.9,0.0
201503,81.4,0.5
201504,81.7,0.8
201505,81.8,0.9
201506,81.9,1.0
201507,82.0,1.1
201508,82.0,1.1
201509,82.0,1.1
201510,81.9,1.0
201511,82.7,1.8
201512,83.2,2.3
201601,82.9,2.0
201602,83.2,2.3
201603,83.1,2.2
201604,82.9,2.0
201605,82.8,1.9
201606,82.8,1.9
201607,82.9,2.0
201608,83.0,2.1
201609,83.1,2.2
201610,83.2,2.3
201611,83.0,2.1
201612,82.8,1.9
201701,83.4,2.5
201702,84.0,3.1
201703,83.9,3.0
201704,84.1,3.2
201705,84.2,3.3
201706,83.9,3.0
201707,83.7,2.8
201708,83.7,2.8
201709,83.6,2.7
201710,83.5,2.6
201711,83.5,2.6
201712,83.2,2.3
201801,82.5,1.6
201802,82.6,1.7
201803,82.4,1.5
201804,82.2,1.3
201805,81.9,1.0
201806,82.2,1.3
201807,82.1,1.2
201808,82.1,1.2
201809,82.3,1.4
201810,82.5,1.6
201811,82.4,1.5
201812,82.3,1.4
201901,82.6,1.7
201902,82.5,1.6
201903,82.6,1.7
201904,82.6,1.7
201905,83.0,2.1
201906,83.0,2.1
201907,83.1,2.2
201908,83.1,2.2
201909,83.2,2.3
201910,83.2,2.3
201911,83.1,2.2
201912,83.3,2.4
202001,83.6,2.7
202002,83.3,2.4
202003,83.8,2.9
202004,83.9,3.0
202005,83.7,2.8
202006,83.6,2.7
202007,83.6,2.7
202008,83.6,2.7
202009,83.4,2.5
202010,83.3,2.4
202011,83.6,2.7
202012,83.2,2.3
202101,83.0,2.1
202102,82.9,2.0
202103,82.6,1.7
202104,82.4,1.5
202105,82.4,1.5
202106,82.3,1.4
202107,82.2,1.3
202108,82.1,1.2
202109,82.1,1.2
202110,82.0,1.1
202111,81.5,0.6
202112,82.2,1.3
202201,82.1,1.2
202202,82.1,1.2
202203,82.3,1.4
202204,82.4,1.5
202205,82.5,1.6
202206,82.7,1.8
202207,82.9,2.0
202208,83.0,2.1
202209,83.0,2.1
202210,82.9,2.0
202211,83.2,2.3
202212,82.8,1.9
202301,83.2,2.3
202302,83.6,2.7
202303,83.6,2.7
202304,83.7,2.8
202305,83.6,2.7
202306,83.4,2.5
202307,83.5,2.6
202308,83.7,2.8
202309,83.8,2.9
202310,83.8,2.9
202311,83.6,2.7
202312,83.5,2.6
202401,83.1,2.2
202402,82.6,1.7
202403,82.4,1.5
202404,82.3,1.4
202405,82.5,1.6
202406,82.7,1.8
202407,82.7,1.8
202408,82.5,1.6
202409,82.5,1.6
202410,82.5,1.6
