#  Florida 12-Month Period Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
201101,58.5,-0.9
201102,59.2,-0.2
201103,59.7,0.3
201104,59.9,0.5
201105,59.5,0.1
201106,59.4,0.0
201107,59.3,-0.1
201108,59.2,-0.2
201109,59.1,-0.3
201110,59.1,-0.3
201111,59.3,-0.1
201112,60.6,1.2
201201,60.8,1.4
201202,61.2,1.8
201203,61.6,2.2
201204,61.5,2.1
201205,61.7,2.3
201206,61.7,2.3
201207,61.6,2.2
201208,61.5,2.1
201209,61.6,2.2
201210,61.9,2.5
201211,61.5,2.1
201212,61.4,2.0
201301,61.9,2.5
201302,61.6,2.2
201303,60.6,1.2
201304,60.7,1.3
201305,60.4,1.0
201306,60.6,1.2
201307,60.5,1.1
201308,60.6,1.2
201309,60.6,1.2
201310,60.7,1.3
201311,61.3,1.9
201312,61.6,2.2
201401,60.8,1.4
201402,60.9,1.5
201403,61.4,2.0
201404,61.3,1.9
201405,61.5,2.1
201406,61.3,1.9
201407,61.3,1.9
201408,61.3,1.9
201409,61.3,1.9
201410,61.1,1.7
201411,60.4,1.0
201412,60.1,0.7
201501,60.5,1.1
201502,60.0,0.6
201503,60.5,1.1
201504,61.0,1.6
201505,61.1,1.7
201506,61.3,1.9
201507,61.3,1.9
201508,61.3,1.9
201509,61.4,2.0
201510,61.7,2.3
201511,62.8,3.4
201512,63.6,4.2
201601,63.5,4.1
201602,63.7,4.3
201603,63.7,4.3
201604,63.2,3.8
201605,63.1,3.7
201606,63.1,3.7
201607,63.2,3.8
201608,63.3,3.9
201609,63.3,3.9
201610,63.3,3.9
201611,62.6,3.2
201612,62.1,2.7
201701,62.5,3.1
201702,62.9,3.5
201703,62.6,3.2
201704,62.6,3.2
201705,62.6,3.2
201706,62.6,3.2
201707,62.6,3.2
201708,62.6,3.2
201709,62.6,3.2
201710,62.7,3.3
201711,62.9,3.5
201712,62.5,3.1
201801,61.9,2.5
201802,62.4,3.0
201803,62.1,2.7
201804,61.9,2.5
201805,62.1,2.7
201806,62.1,2.7
201807,62.0,2.6
201808,61.9,2.5
201809,62.1,2.7
201810,62.2,2.8
201811,62.2,2.8
201812,62.2,2.8
201901,62.5,3.1
201902,62.4,3.0
201903,62.7,3.3
201904,62.8,3.4
201905,62.9,3.5
201906,63.0,3.6
201907,63.0,3.6
201908,63.1,3.7
201909,62.9,3.5
201910,63.1,3.7
201911,62.9,3.5
201912,63.1,3.7
202001,63.4,4.0
202002,63.0,3.6
202003,63.4,4.0
202004,63.6,4.2
202005,63.3,3.9
202006,63.2,3.8
202007,63.2,3.8
202008,63.2,3.8
202009,63.2,3.8
202010,63.2,3.8
202011,63.9,4.5
202012,63.2,3.8
202101,62.9,3.5
202102,63.0,3.6
202103,62.8,3.4
202104,62.5,3.1
202105,62.5,3.1
202106,62.5,3.1
202107,62.5,3.1
202108,62.5,3.1
202109,62.4,3.0
202110,62.1,2.7
202111,61.4,2.0
202112,62.2,2.8
202201,62.1,2.7
202202,62.0,2.6
202203,62.0,2.6
202204,62.2,2.8
202205,62.4,3.0
202206,62.4,3.0
202207,62.4,3.0
202208,62.4,3.0
202209,62.4,3.0
202210,62.0,2.6
202211,62.6,3.2
202212,62.2,2.8
202301,62.5,3.1
202302,62.8,3.4
202303,62.9,3.5
202304,63.0,3.6
202305,62.8,3.4
202306,62.7,3.3
202307,62.7,3.3
202308,62.9,3.5
202309,62.9,3.5
202310,63.1,3.7
202311,62.8,3.4
202312,62.8,3.4
202401,62.7,3.3
202402,62.1,2.7
202403,62.2,2.8
202404,61.8,2.4
202405,62.1,2.7
202406,62.3,2.9
202407,62.3,2.9
202408,62.3,2.9
202409,62.5,3.1
202410,62.6,3.2
