Year,Month,Value,Anomaly
1895,1,17.6,-2.2
1895,2,14.1,-6.6
1895,3,24.7,-5.9
1895,4,42.7,-0.1
1895,5,57.2,2.7
1895,6,67.3,3.9
1895,7,64.8,-3.4
1895,8,65.8,-0.2
1895,9,60.9,2.0
1895,10,41.8,-6.2
1895,11,36.8,0.5
1895,12,27.8,3.3
1896,1,17.2,-2.6
1896,2,20.6,-0.1
1896,3,22.4,-8.2
1896,4,46.4,3.6
1896,5,59.6,5.1
1896,6,63.0,-0.4
1896,7,68.8,0.6
1896,8,66.9,0.9
1896,9,57.2,-1.7
1896,10,43.9,-4.1
1896,11,39.6,3.3
1896,12,23.1,-1.4
1897,1,19.3,-0.5
1897,2,22.1,1.4
1897,3,30.6,0.0
1897,4,43.6,0.8
1897,5,54.0,-0.5
1897,6,60.0,-3.4
1897,7,70.8,2.6
1897,8,63.9,-2.1
1897,9,58.1,-0.8
1897,10,49.0,1.0
1897,11,35.0,-1.3
1897,12,25.8,1.3
1898,1,20.8,1.0
1898,2,24.0,3.3
1898,3,37.8,7.2
1898,4,40.8,-2.0
1898,5,54.9,0.4
1898,6,65.2,1.8
1898,7,70.4,2.2
1898,8,68.0,2.0
1898,9,61.6,2.7
1898,10,49.2,1.2
1898,11,34.6,-1.7
1898,12,24.1,-0.4
1899,1,19.2,-0.6
1899,2,17.5,-3.2
1899,3,27.6,-3.0
1899,4,44.7,1.9
1899,5,55.6,1.1
1899,6,65.8,2.4
1899,7,68.2,0.0
1899,8,67.5,1.5
1899,9,57.4,-1.5
1899,10,50.4,2.4
1899,11,35.7,-0.6
1899,12,26.5,2.0
1900,1,21.7,1.9
1900,2,19.9,-0.8
1900,3,22.7,-7.9
1900,4,43.2,0.4
1900,5,54.2,-0.3
1900,6,65.3,1.9
1900,7,69.1,0.9
1900,8,69.7,3.7
1900,9,62.1,3.2
1900,10,53.7,5.7
1900,11,37.0,0.7
1900,12,23.7,-0.8
1901,1,20.0,0.2
1901,2,13.5,-7.2
1901,3,28.5,-2.1
1901,4,43.8,1.0
1901,5,54.5,0.0
1901,6,65.6,2.2
1901,7,71.9,3.7
1901,8,67.6,1.6
1901,9,59.4,0.5
1901,10,47.7,-0.3
1901,11,30.4,-5.9
1901,12,23.6,-0.9
1902,1,17.9,-1.9
1902,2,18.5,-2.2
1902,3,36.1,5.5
1902,4,44.0,1.2
1902,5,53.4,-1.1
1902,6,60.2,-3.2
1902,7,67.3,-0.9
1902,8,63.6,-2.4
1902,9,59.1,0.2
1902,10,47.2,-0.8
1902,11,41.2,4.9
1902,12,21.2,-3.3
1903,1,20.2,0.4
1903,2,23.6,2.9
1903,3,39.7,9.1
1903,4,43.1,0.3
1903,5,57.1,2.6
1903,6,59.4,-4.0
1903,7,66.6,-1.6
1903,8,60.8,-5.2
1903,9,59.4,0.5
1903,10,48.5,0.5
1903,11,31.7,-4.6
1903,12,18.7,-5.8
1904,1,12.3,-7.5
1904,2,12.9,-7.8
1904,3,27.8,-2.8
1904,4,39.0,-3.8
1904,5,58.0,3.5
1904,6,63.9,0.5
1904,7,66.7,-1.5
1904,8,64.0,-2.0
1904,9,57.2,-1.7
1904,10,44.6,-3.4
1904,11,31.8,-4.5
1904,12,17.2,-7.3
1905,1,15.5,-4.3
1905,2,13.6,-7.1
1905,3,29.2,-1.4
1905,4,41.7,-1.1
1905,5,54.4,-0.1
1905,6,63.0,-0.4
1905,7,68.8,0.6
1905,8,64.6,-1.4
1905,9,58.9,0.0
1905,10,48.0,0.0
1905,11,33.1,-3.2
1905,12,27.1,2.6
1906,1,27.3,7.5
1906,2,20.4,-0.3
1906,3,24.2,-6.4
1906,4,42.8,0.0
1906,5,54.5,0.0
1906,6,64.8,1.4
1906,7,67.8,-0.4
1906,8,68.7,2.7
1906,9,61.8,2.9
1906,10,47.8,-0.2
1906,11,34.0,-2.3
1906,12,21.2,-3.3
1907,1,19.6,-0.2
1907,2,13.8,-6.9
1907,3,32.5,1.9
1907,4,37.9,-4.9
1907,5,48.9,-5.6
1907,6,61.6,-1.8
1907,7,67.3,-0.9
1907,8,63.9,-2.1
1907,9,59.8,0.9
1907,10,43.1,-4.9
1907,11,34.2,-2.1
1907,12,27.6,3.1
1908,1,19.8,0.0
1908,2,16.2,-4.5
1908,3,30.8,0.2
1908,4,41.5,-1.3
1908,5,56.9,2.4
1908,6,64.8,1.4
1908,7,69.9,1.7
1908,8,65.0,-1.0
1908,9,61.9,3.0
1908,10,50.1,2.1
1908,11,36.2,-0.1
1908,12,24.2,-0.3
1909,1,22.7,2.9
1909,2,25.0,4.3
1909,3,27.6,-3.0
1909,4,41.4,-1.4
1909,5,53.7,-0.8
1909,6,64.0,0.6
1909,7,66.0,-2.2
1909,8,64.8,-1.2
1909,9,58.0,-0.9
1909,10,44.6,-3.4
1909,11,39.3,3.0
1909,12,21.6,-2.9
1910,1,21.2,1.4
1910,2,18.2,-2.5
1910,3,37.0,6.4
1910,4,47.2,4.4
1910,5,52.7,-1.8
1910,6,61.5,-1.9
1910,7,69.0,0.8
1910,8,65.1,-0.9
1910,9,58.9,0.0
1910,10,49.4,1.4
1910,11,32.3,-4.0
1910,12,17.1,-7.4
1911,1,22.2,2.4
1911,2,20.4,-0.3
1911,3,26.7,-3.9
1911,4,40.4,-2.4
1911,5,61.3,6.8
1911,6,63.0,-0.4
1911,7,70.6,2.4
1911,8,67.0,1.0
1911,9,57.9,-1.0
1911,10,46.7,-1.3
1911,11,32.2,-4.1
1911,12,30.8,6.3
1912,1,10.8,-9.0
1912,2,16.4,-4.3
1912,3,24.9,-5.7
1912,4,41.7,-1.1
1912,5,55.6,1.1
1912,6,60.4,-3.0
1912,7,68.2,0.0
1912,8,62.3,-3.7
1912,9,59.1,0.2
1912,10,49.3,1.3
1912,11,37.5,1.2
1912,12,29.4,4.9
1913,1,29.4,9.6
1913,2,18.2,-2.5
1913,3,34.3,3.7
1913,4,45.4,2.6
1913,5,53.1,-1.4
1913,6,62.6,-0.8
1913,7,67.7,-0.5
1913,8,65.9,-0.1
1913,9,57.5,-1.4
1913,10,51.1,3.1
1913,11,39.3,3.0
1913,12,28.6,4.1
1914,1,19.7,-0.1
1914,2,12.1,-8.6
1914,3,27.9,-2.7
1914,4,39.5,-3.3
1914,5,56.5,2.0
1914,6,62.2,-1.2
1914,7,66.6,-1.6
1914,8,66.1,0.1
1914,9,57.5,-1.4
1914,10,51.3,3.3
1914,11,34.0,-2.3
1914,12,21.8,-2.7
1915,1,22.0,2.2
1915,2,25.0,4.3
1915,3,26.0,-4.6
1915,4,48.1,5.3
1915,5,50.2,-4.3
1915,6,61.6,-1.8
1915,7,66.5,-1.7
1915,8,64.0,-2.0
1915,9,61.8,2.9
1915,10,49.1,1.1
1915,11,37.0,0.7
1915,12,23.5,-1.0
1916,1,25.3,5.5
1916,2,16.2,-4.5
1916,3,21.8,-8.8
1916,4,42.3,-0.5
1916,5,54.5,0.0
1916,6,59.5,-3.9
1916,7,71.4,3.2
1916,8,68.2,2.2
1916,9,59.2,0.3
1916,10,48.3,0.3
1916,11,34.8,-1.5
1916,12,23.7,-0.8
1917,1,19.2,-0.6
1917,2,15.4,-5.3
1917,3,29.8,-0.8
1917,4,41.0,-1.8
1917,5,46.5,-8.0
1917,6,61.7,-1.7
1917,7,68.7,0.5
1917,8,67.3,1.3
1917,9,55.7,-3.2
1917,10,43.1,-4.9
1917,11,30.7,-5.6
1917,12,13.9,-10.6
1918,1,9.4,-10.4
1918,2,18.4,-2.3
1918,3,31.8,1.2
1918,4,42.7,-0.1
1918,5,59.3,4.8
1918,6,59.7,-3.7
1918,7,67.1,-1.1
1918,8,67.9,1.9
1918,9,54.0,-4.9
1918,10,49.6,1.6
1918,11,37.4,1.1
1918,12,28.3,3.8
1919,1,25.0,5.2
1919,2,24.4,3.7
1919,3,32.8,2.2
1919,4,41.0,-1.8
1919,5,54.4,-0.1
1919,6,67.9,4.5
1919,7,68.5,0.3
1919,8,63.8,-2.2
1919,9,59.6,0.7
1919,10,50.3,2.3
1919,11,35.1,-1.2
1919,12,18.7,-5.8
1920,1,10.4,-9.4
1920,2,17.5,-3.2
1920,3,31.3,0.7
1920,4,39.9,-2.9
1920,5,52.5,-2.0
1920,6,62.7,-0.7
1920,7,65.3,-2.9
1920,8,67.3,1.3
1920,9,60.4,1.5
1920,10,53.2,5.2
1920,11,33.8,-2.5
1920,12,27.1,2.6
1921,1,22.8,3.0
1921,2,24.2,3.5
1921,3,39.1,8.5
1921,4,49.7,6.9
1921,5,56.2,1.7
1921,6,64.5,1.1
1921,7,73.2,5.0
1921,8,64.7,-1.3
1921,9,63.1,4.2
1921,10,48.0,0.0
1921,11,34.4,-1.9
1921,12,22.5,-2.0
1922,1,16.3,-3.5
1922,2,23.5,2.8
1922,3,32.2,1.6
1922,4,43.2,0.4
1922,5,57.3,2.8
1922,6,64.4,1.0
1922,7,67.5,-0.7
1922,8,65.0,-1.0
1922,9,60.7,1.8
1922,10,48.4,0.4
1922,11,36.7,0.4
1922,12,24.0,-0.5
1923,1,17.4,-2.4
1923,2,14.8,-5.9
1923,3,25.8,-4.8
1923,4,41.1,-1.7
1923,5,51.4,-3.1
1923,6,64.7,1.3
1923,7,66.0,-2.2
1923,8,64.0,-2.0
1923,9,59.6,0.7
1923,10,46.7,-1.3
1923,11,36.1,-0.2
1923,12,32.6,8.1
1924,1,21.4,1.6
1924,2,15.8,-4.9
1924,3,29.2,-1.4
1924,4,40.2,-2.6
1924,5,49.2,-5.3
1924,6,61.1,-2.3
1924,7,66.2,-2.0
1924,8,65.2,-0.8
1924,9,55.5,-3.4
1924,10,47.4,-0.6
1924,11,35.8,-0.5
1924,12,21.5,-3.0
1925,1,15.9,-3.9
1925,2,27.9,7.2
1925,3,34.6,4.0
1925,4,44.2,1.4
1925,5,49.9,-4.6
1925,6,66.2,2.8
1925,7,65.8,-2.4
1925,8,65.6,-0.4
1925,9,59.4,0.5
1925,10,40.2,-7.8
1925,11,34.7,-1.6
1925,12,24.1,-0.4
1926,1,20.8,1.0
1926,2,18.0,-2.7
1926,3,23.7,-6.9
1926,4,36.3,-6.5
1926,5,51.7,-2.8
1926,6,59.0,-4.4
1926,7,66.8,-1.4
1926,8,66.2,0.2
1926,9,57.8,-1.1
1926,10,45.5,-2.5
1926,11,35.3,-1.0
1926,12,19.0,-5.5
1927,1,18.6,-1.2
1927,2,25.6,4.9
1927,3,33.9,3.3
1927,4,41.4,-1.4
1927,5,51.8,-2.7
1927,6,59.3,-4.1
1927,7,66.8,-1.4
1927,8,61.5,-4.5
1927,9,59.4,0.5
1927,10,50.9,2.9
1927,11,39.3,3.0
1927,12,25.8,1.3
1928,1,22.2,2.4
1928,2,21.2,0.5
1928,3,28.3,-2.3
1928,4,39.3,-3.5
1928,5,52.7,-1.8
1928,6,60.3,-3.1
1928,7,68.4,0.2
1928,8,68.8,2.8
1928,9,55.7,-3.2
1928,10,49.3,1.3
1928,11,37.0,0.7
1928,12,29.1,4.6
1929,1,19.4,-0.4
1929,2,19.9,-0.8
1929,3,35.5,4.9
1929,4,43.8,1.0
1929,5,52.9,-1.6
1929,6,62.8,-0.6
1929,7,67.0,-1.2
1929,8,62.7,-3.3
1929,9,61.0,2.1
1929,10,45.6,-2.4
1929,11,35.5,-0.8
1929,12,23.5,-1.0
1930,1,21.4,1.6
1930,2,24.7,4.0
1930,3,29.6,-1.0
1930,4,41.0,-1.8
1930,5,55.9,1.4
1930,6,66.0,2.6
1930,7,67.3,-0.9
1930,8,65.2,-0.8
1930,9,61.6,2.7
1930,10,46.8,-1.2
1930,11,38.3,2.0
1930,12,25.0,0.5
1931,1,20.2,0.4
1931,2,22.1,1.4
1931,3,31.5,0.9
1931,4,43.9,1.1
1931,5,55.4,0.9
1931,6,63.6,0.2
1931,7,70.9,2.7
1931,8,66.5,0.5
1931,9,63.2,4.3
1931,10,51.0,3.0
1931,11,43.3,7.0
1931,12,29.2,4.7
1932,1,31.9,12.1
1932,2,24.8,4.1
1932,3,26.1,-4.5
1932,4,39.4,-3.4
1932,5,55.0,0.5
1932,6,63.1,-0.3
1932,7,65.7,-2.5
1932,8,66.9,0.9
1932,9,59.5,0.6
1932,10,50.3,2.3
1932,11,33.3,-3.0
1932,12,28.5,4.0
1933,1,30.0,10.2
1933,2,24.4,3.7
1933,3,28.6,-2.0
1933,4,44.4,1.6
1933,5,57.1,2.6
1933,6,66.2,2.8
1933,7,69.6,1.4
1933,8,66.0,0.0
1933,9,60.7,1.8
1933,10,46.1,-1.9
1933,11,29.5,-6.8
1933,12,21.4,-3.1
1934,1,22.2,2.4
1934,2,7.6,-13.1
1934,3,27.7,-2.9
1934,4,42.7,-0.1
1934,5,56.5,2.0
1934,6,66.6,3.2
1934,7,69.7,1.5
1934,8,63.3,-2.7
1934,9,62.4,3.5
1934,10,45.0,-3.0
1934,11,39.5,3.2
1934,12,21.2,-3.3
1935,1,16.7,-3.1
1935,2,19.6,-1.1
1935,3,32.6,2.0
1935,4,41.0,-1.8
1935,5,49.6,-4.9
1935,6,62.7,-0.7
1935,7,71.0,2.8
1935,8,66.6,0.6
1935,9,55.9,-3.0
1935,10,47.9,-0.1
1935,11,38.2,1.9
1935,12,19.1,-5.4
1936,1,17.7,-2.1
1936,2,13.9,-6.8
1936,3,35.8,5.2
1936,4,40.0,-2.8
1936,5,57.4,2.9
1936,6,63.9,0.5
1936,7,68.2,0.0
1936,8,67.1,1.1
1936,9,60.1,1.2
1936,10,48.1,0.1
1936,11,31.6,-4.7
1936,12,27.6,3.1
1937,1,28.5,8.7
1937,2,25.0,4.3
1937,3,24.7,-5.9
1937,4,41.3,-1.5
1937,5,56.1,1.6
1937,6,64.1,0.7
1937,7,69.3,1.1
1937,8,70.5,4.5
1937,9,57.4,-1.5
1937,10,46.0,-2.0
1937,11,36.2,-0.1
1937,12,23.2,-1.3
1938,1,19.1,-0.7
1938,2,24.8,4.1
1938,3,34.9,4.3
1938,4,45.4,2.6
1938,5,53.5,-1.0
1938,6,64.0,0.6
1938,7,69.2,1.0
1938,8,69.5,3.5
1938,9,55.4,-3.5
1938,10,49.7,1.7
1938,11,37.8,1.5
1938,12,25.8,1.3
1939,1,20.3,0.5
1939,2,23.0,2.3
1939,3,27.2,-3.4
1939,4,39.4,-3.4
1939,5,56.6,2.1
1939,6,64.0,0.6
1939,7,68.2,0.0
1939,8,69.5,3.5
1939,9,59.8,0.9
1939,10,47.6,-0.4
1939,11,31.9,-4.4
1939,12,25.5,1.0
1940,1,12.0,-7.8
1940,2,19.6,-1.1
1940,3,23.8,-6.8
1940,4,38.6,-4.2
1940,5,54.9,0.4
1940,6,62.4,-1.0
1940,7,67.7,-0.5
1940,8,64.7,-1.3
1940,9,57.1,-1.8
1940,10,43.7,-4.3
1940,11,34.9,-1.4
1940,12,26.7,2.2
1941,1,17.8,-2.0
1941,2,19.7,-1.0
1941,3,23.9,-6.7
1941,4,48.1,5.3
1941,5,55.8,1.3
1941,6,65.1,1.7
1941,7,69.9,1.7
1941,8,64.1,-1.9
1941,9,61.0,2.1
1941,10,49.4,1.4
1941,11,39.4,3.1
1941,12,27.6,3.1
1942,1,19.5,-0.3
1942,2,17.6,-3.1
1942,3,34.4,3.8
1942,4,46.9,4.1
1942,5,58.1,3.6
1942,6,64.5,1.1
1942,7,68.0,-0.2
1942,8,65.7,-0.3
1942,9,59.2,0.3
1942,10,49.3,1.3
1942,11,36.1,-0.2
1942,12,20.1,-4.4
1943,1,16.3,-3.5
1943,2,22.0,1.3
1943,3,28.9,-1.7
1943,4,36.3,-6.5
1943,5,54.2,-0.3
1943,6,68.0,4.6
1943,7,68.9,0.7
1943,8,66.1,0.1
1943,9,57.7,-1.2
1943,10,46.6,-1.4
1943,11,33.6,-2.7
1943,12,20.7,-3.8
1944,1,23.3,3.5
1944,2,20.6,-0.1
1944,3,26.4,-4.2
1944,4,38.6,-4.2
1944,5,60.5,6.0
1944,6,64.7,1.3
1944,7,69.4,1.2
1944,8,69.1,3.1
1944,9,60.2,1.3
1944,10,46.4,-1.6
1944,11,36.5,0.2
1944,12,20.2,-4.3
1945,1,11.6,-8.2
1945,2,22.0,1.3
1945,3,40.7,10.1
1945,4,48.0,5.2
1945,5,50.8,-3.7
1945,6,62.4,-1.0
1945,7,67.9,-0.3
1945,8,66.2,0.2
1945,9,61.9,3.0
1945,10,46.7,-1.3
1945,11,37.2,0.9
1945,12,19.3,-5.2
1946,1,21.4,1.6
1946,2,19.3,-1.4
1946,3,41.1,10.5
1946,4,41.9,-0.9
1946,5,53.2,-1.3
1946,6,62.2,-1.2
1946,7,67.4,-0.8
1946,8,62.8,-3.2
1946,9,61.0,2.1
1946,10,52.2,4.2
1946,11,40.1,3.8
1946,12,26.8,2.3
1947,1,24.3,4.5
1947,2,18.0,-2.7
1947,3,28.0,-2.6
1947,4,41.4,-1.4
1947,5,53.5,-1.0
1947,6,62.6,-0.8
1947,7,68.2,0.0
