Date,Value,Anomaly
197801,16.9,-2.9
197802,13.1,-7.6
197803,26.5,-4.1
197804,40.2,-2.6
197805,55.5,1.0
197806,62.6,-0.8
197807,67.4,-0.8
197808,67.4,1.4
197809,56.5,-2.4
197810,46.0,-2.0
197811,36.6,0.3
197812,25.7,1.2
197901,19.0,-0.8
197902,10.7,-10.0
197903,35.4,4.8
197904,42.3,-0.5
197905,55.6,1.1
197906,62.6,-0.8
197907,68.6,0.4
197908,65.4,-0.6
197909,58.2,-0.7
197910,47.5,-0.5
197911,40.9,4.6
197912,29.0,4.5
198001,21.6,1.8
198002,17.6,-3.1
198003,29.3,-1.3
198004,44.3,1.5
198005,56.0,1.5
198006,60.3,-3.1
198007,68.6,0.4
198008,69.2,3.2
198009,59.6,0.7
198010,44.7,-3.3
198011,33.1,-3.2
198012,19.0,-5.5
198101,11.9,-7.9
198102,29.4,8.7
198103,31.8,1.2
198104,46.0,3.2
198105,55.2,0.7
198106,64.0,0.6
198107,68.5,0.3
198108,65.7,-0.3
198109,57.3,-1.6
198110,44.1,-3.9
198111,36.5,0.2
198112,25.4,0.9
198201,12.0,-7.8
198202,21.4,0.7
198203,29.7,-0.9
198204,40.4,-2.4
198205,57.2,2.7
198206,60.7,-2.7
198207,68.1,-0.1
198208,63.0,-3.0
198209,59.0,0.1
198210,48.5,0.5
198211,40.1,3.8
198212,32.2,7.7
198301,22.2,2.4
198302,25.0,4.3
198303,34.4,3.8
198304,41.9,-0.9
198305,52.0,-2.5
198306,64.4,1.0
198307,69.7,1.5
198308,67.9,1.9
198309,60.9,2.0
198310,48.4,0.4
198311,37.5,1.2
198312,21.9,-2.6
198401,16.7,-3.1
198402,30.0,9.3
198403,24.2,-6.4
198404,43.8,1.0
198405,51.6,-2.9
198406,64.8,1.4
198407,67.2,-1.0
198408,68.4,2.4
198409,56.4,-2.5
198410,51.2,3.2
198411,36.5,0.2
198412,31.6,7.1
198501,16.1,-3.7
198502,22.8,2.1
198503,33.0,2.4
198504,45.6,2.8
198505,56.3,1.8
198506,59.5,-3.9
198507,67.0,-1.2
198508,65.6,-0.4
198509,60.7,1.8
198510,48.9,0.9
198511,38.9,2.6
198512,21.8,-2.7
198601,21.2,1.4
198602,20.3,-0.4
198603,33.9,3.3
198604,46.7,3.9
198605,57.9,3.4
198606,61.6,-1.8
198607,67.5,-0.7
198608,64.3,-1.7
198609,57.5,-1.4
198610,47.6,-0.4
198611,34.3,-2.0
198612,28.2,3.7
198701,20.3,0.5
198702,18.9,-1.8
198703,34.6,4.0
198704,47.4,4.6
198705,56.1,1.6
198706,65.2,1.8
198707,70.1,1.9
198708,64.8,-1.2
198709,58.7,-0.2
