Date,Value,Anomaly
197801,24.8,-3.9
197802,23.8,-6.6
197803,36.3,-3.9
197804,50.7,-2.7
197805,66.7,0.6
197806,74.3,-0.6
197807,79.2,-0.2
197808,77.8,0.7
197809,68.0,-1.8
197810,56.4,-2.1
197811,46.3,1.9
197812,33.8,1.3
197901,26.7,-2.0
197902,20.4,-10.0
197903,45.3,5.1
197904,52.1,-1.3
197905,66.4,0.3
197906,74.6,-0.3
197907,80.1,0.7
197908,75.4,-1.7
197909,69.6,-0.2
197910,55.5,-3.0
197911,49.0,4.6
197912,36.7,4.2
198001,29.7,1.0
198002,26.8,-3.6
198003,38.6,-1.6
198004,54.8,1.4
198005,68.5,2.4
198006,72.2,-2.7
198007,79.7,0.3
198008,79.5,2.4
198009,70.8,1.0
198010,53.9,-4.6
198011,40.5,-3.9
198012,29.6,-2.9
198101,22.0,-6.7
198102,39.2,8.8
198103,40.9,0.7
198104,57.0,3.6
198105,67.8,1.7
198106,75.0,0.1
198107,79.0,-0.4
198108,76.6,-0.5
198109,65.7,-4.1
198110,53.6,-4.9
198111,44.5,0.1
198112,31.9,-0.6
198201,22.0,-6.7
198202,30.5,0.1
198203,40.0,-0.2
198204,52.1,-1.3
198205,69.3,3.2
198206,70.5,-4.4
198207,80.2,0.8
198208,74.1,-3.0
198209,69.6,-0.2
198210,60.0,1.5
198211,48.4,4.0
198212,41.0,8.5
198301,30.4,1.7
198302,34.7,4.3
198303,42.8,2.6
198304,50.8,-2.6
198305,62.8,-3.3
198306,77.2,2.3
198307,82.0,2.6
198308,79.0,1.9
198309,73.0,3.2
198310,58.7,0.2
198311,45.3,0.9
198312,29.3,-3.2
198401,25.6,-3.1
198402,38.7,8.3
198403,33.7,-6.5
198404,53.5,0.1
198405,61.9,-4.2
198406,76.8,1.9
198407,77.9,-1.5
198408,78.5,1.4
198409,67.3,-2.5
198410,61.9,3.4
198411,45.3,0.9
198412,39.5,7.0
198501,24.2,-4.5
198502,31.7,1.3
198503,43.7,3.5
198504,56.7,3.3
198505,68.5,2.4
198506,69.9,-5.0
198507,78.5,-0.9
198508,76.5,-0.6
198509,71.4,1.6
198510,59.5,1.0
198511,45.7,1.3
198512,28.7,-3.8
198601,30.3,1.6
198602,28.4,-2.0
198603,44.4,4.2
198604,57.9,4.5
198605,69.5,3.4
198606,73.0,-1.9
198607,77.3,-2.1
198608,74.5,-2.6
198609,67.2,-2.6
198610,57.4,-1.1
198611,42.2,-2.2
198612,34.6,2.1
198701,28.6,-0.1
198702,29.9,-0.5
198703,45.6,5.4
198704,57.9,4.5
198705,68.0,1.9
198706,76.0,1.1
198707,80.8,1.4
198708,75.7,-1.4
198709,67.6,-2.2
198710,55.4,-3.1
198711,46.5,2.1
198712,35.6,3.1
198801,28.9,0.2
198802,31.7,1.3
198803,42.0,1.8
198804,52.8,-0.6
198805,68.0,1.9
198806,74.9,0.0
198807,82.6,3.2
198808,79.9,2.8
198809,68.7,-1.1
198810,52.5,-6.0
198811,47.1,2.7
198812,33.5,1.0
198901,35.0,6.3
198902,29.6,-0.8
198903,40.9,0.7
198904,50.8,-2.6
198905,65.6,-0.5
198906,74.6,-0.3
198907,79.6,0.2
198908,76.1,-1.0
198909,69.5,-0.3
198910,60.0,1.5
198911,44.6,0.2
198912,20.7,-11.8
199001,38.0,9.3
199002,37.3,6.9
199003,45.4,5.2
199004,55.7,2.3
199005,62.6,-3.5
199006,74.7,-0.2
199007,78.8,-0.6
199008,76.9,-0.2
199009,68.1,-1.7
199010,60.5,2.0
199011,48.8,4.4
199012,39.4,6.9
199101,29.7,1.0
199102,36.7,6.3
199103,43.6,3.4
199104,58.0,4.6
199105,72.2,6.1
199106,77.9,3.0
199107,80.2,0.8
199108,78.9,1.8
199109,69.2,-0.6
199110,61.2,2.7
199111,44.9,0.5
199112,36.2,3.7
199201,30.9,2.2
199202,32.7,2.3
199203,37.3,-2.9
199204,51.4,-2.0
199205,66.9,0.8
199206,72.6,-2.3
199207,74.2,-5.2
199208,73.8,-3.3
199209,69.1,-0.7
199210,53.9,-4.6
199211,42.8,-1.6
199212,34.6,2.1
199301,32.1,3.4
199302,26.5,-3.9
199303,37.7,-2.5
199304,54.5,1.1
199305,67.4,1.3
199306,73.6,-1.3
199307,80.5,1.1
199308,78.8,1.7
199309,67.2,-2.6
199310,56.0,-2.5
199311,44.9,0.5
199312,32.3,-0.2
199401,21.1,-7.6
199402,27.4,-3.0
199403,38.2,-2.0
199404,56.5,3.1
199405,63.8,-2.3
199406,77.1,2.2
199407,80.6,1.2
199408,74.8,-2.3
199409,67.8,-2.0
199410,59.0,0.5
199411,51.0,6.6
199412,38.6,6.1
199501,34.4,5.7
199502,28.7,-1.7
199503,45.9,5.7
199504,50.4,-3.0
199505,64.6,-1.5
199506,78.5,3.6
199507,81.3,1.9
199508,80.7,3.6
199509,68.4,-1.4
199510,62.6,4.1
199511,40.1,-4.3
199512,27.6,-4.9
199601,28.7,0.0
199602,30.5,0.1
199603,38.2,-2.0
199604,51.7,-1.7
199605,63.6,-2.5
199606,75.3,0.4
199607,76.5,-2.9
199608,78.1,1.0
199609,69.2,-0.6
199610,58.5,0.0
199611,39.9,-4.5
199612,37.8,5.3
199701,29.3,0.6
199702,37.1,6.7
199703,39.5,-0.7
199704,52.1,-1.3
199705,60.5,-5.6
199706,76.7,1.8
199707,78.4,-1.0
199708,75.7,-1.4
199709,68.1,-1.7
199710,57.9,-0.6
199711,41.7,-2.7
199712,34.7,2.2
199801,35.0,6.3
199802,38.8,8.4
199803,43.8,3.6
199804,57.7,4.3
199805,72.0,5.9
199806,73.3,-1.6
199807,78.2,-1.2
199808,78.8,1.7
199809,72.2,2.4
199810,58.8,0.3
199811,45.8,1.4
199812,42.0,9.5
199901,30.1,1.4
199902,36.9,6.5
199903,39.5,-0.7
199904,55.6,2.2
199905,70.1,4.0
199906,79.0,4.1
199907,82.7,3.3
199908,76.8,-0.3
199909,73.0,3.2
