Date,Value,Anomaly
197801,9.1,-1.9
197802,2.5,-8.6
197803,16.7,-4.3
197804,29.6,-2.6
197805,44.4,1.6
197806,50.8,-1.2
197807,55.6,-1.4
197808,56.9,1.9
197809,45.0,-3.1
197810,35.6,-1.9
197811,26.9,-1.4
197812,17.7,1.1
197901,11.2,0.2
197902,1.1,-10.0
197903,25.4,4.4
197904,32.6,0.4
197905,44.9,2.1
197906,50.6,-1.4
197907,57.1,0.1
197908,55.4,0.4
197909,46.7,-1.4
197910,39.4,1.9
197911,32.8,4.5
197912,21.2,4.6
198001,13.6,2.6
198002,8.5,-2.6
198003,20.0,-1.0
198004,33.8,1.6
198005,43.5,0.7
198006,48.5,-3.5
198007,57.5,0.5
198008,58.8,3.8
198009,48.3,0.2
198010,35.5,-2.0
198011,25.6,-2.7
198012,8.3,-8.3
198101,1.8,-9.2
198102,19.6,8.5
198103,22.7,1.7
198104,35.0,2.8
198105,42.5,-0.3
198106,52.9,0.9
198107,58.0,1.0
198108,54.9,-0.1
198109,49.0,0.9
198110,34.6,-2.9
198111,28.5,0.2
198112,19.0,2.4
198201,1.9,-9.1
198202,12.2,1.1
198203,19.4,-1.6
198204,28.8,-3.4
198205,45.1,2.3
198206,50.8,-1.2
198207,56.0,-1.0
198208,51.9,-3.1
198209,48.4,0.3
198210,37.1,-0.4
198211,31.8,3.5
198212,23.3,6.7
198301,14.0,3.0
198302,15.5,4.4
198303,26.0,5.0
198304,33.0,0.8
198305,41.2,-1.6
198306,51.7,-0.3
198307,57.5,0.5
198308,56.8,1.8
198309,48.9,0.8
198310,38.1,0.6
198311,29.7,1.4
198312,14.5,-2.1
198401,7.8,-3.2
198402,21.3,10.2
198403,14.7,-6.3
198404,34.1,1.9
198405,41.2,-1.6
198406,52.7,0.7
198407,56.6,-0.4
198408,58.3,3.3
198409,45.4,-2.7
198410,40.6,3.1
198411,27.7,-0.6
198412,23.6,7.0
198501,7.9,-3.1
198502,13.9,2.8
198503,22.2,1.2
198504,34.5,2.3
198505,44.1,1.3
198506,49.2,-2.8
