Entity,Year,Annual_CO2_emissions_per_capita,Continent,Population
Qatar,2022,37.601273,Asia,2695122.0
United Arab Emirates,2022,25.833244,Asia,9441129.0
Bahrain,2022,25.672274,Asia,1472233.0
Kuwait,2022,25.578102,Asia,4268873.0
Brunei,2022,23.950201,Asia,449002.0
Others,2022,4.524341064831672,Asia,4702271939.0
Total Emissions,2022,4.613325385930227,Asia,4720598298.0
Faroe Islands,2022,14.084624,Europe,53090.0
Luxembourg,2022,11.618432,Europe,647599.0
Russia,2022,11.416899,Europe,144713314.0
Iceland,2022,9.499798,Europe,372899.0
Czechia,2022,9.3357525,Europe,
Others,2022,5.686938245267215,Europe,585253276.0
Total Emissions,2022,6.829023877744987,Europe,731040178.0
Libya,2022,9.242238,Africa,6812341.0
South Africa,2022,6.7461643,Africa,59893885.0
Seychelles,2022,6.1495123,Africa,107118.0
Algeria,2022,3.9272263,Africa,44903225.0
Saint Helena,2022,3.2986484,Africa,
Others,2022,0.6354436857705058,Africa,1179997046.0
Total Emissions,2022,1.0790633242465137,Africa,1291713615.0
Trinidad and Tobago,2022,22.423758,North America,1531044.0
United States,2022,14.949616,North America,338289857.0
Sint Maarten (Dutch part),2022,14.352394,North America,
Canada,2022,14.249212,North America,38454327.0
Greenland,2022,10.473997,North America,56466.0
Others,2022,2.926225093067094,North America,217396064.0
Total Emissions,2022,10.535551239252497,North America,595727758.0
Curacao,2022,9.189007,South America,191163.0
Aruba,2022,8.133404,South America,106445.0
Suriname,2022,5.8029985,South America,618040.0
Guyana,2022,4.3736935,South America,808726.0
Chile,2022,4.3041654,South America,19603733.0
Others,2022,2.3921639294248305,South America,415477772.0
Total Emissions,2022,2.4908424186341462,South America,436805879.0
New Caledonia,2022,17.641167,Oceania,289950.0
Australia,2022,14.985412,Oceania,26177413.0
Palau,2022,12.123921,Oceania,18055.0
New Zealand,2022,6.212154,Oceania,5185288.0
Nauru,2022,4.1700416,Oceania,12668.0
Others,2022,0.8515467928080701,Oceania,12973547.0
Total Emissions,2022,9.873620455852667,Oceania,44656921.0
