Entity,Annual CO₂ emissions (per capita)
Qatar,18.5107532
Bahrain,12.4131775
Trinidad and Tobago,12.2420209
Kuwait,12.125581700000001
United Arab Emirates,12.1237952
Brunei,12.0476054
Saudi Arabia,9.2081365
New Caledonia,9.187721
Australia,7.837942099999999
Sint Maarten (Dutch part),7.587689
United States,7.584737250000001
Canada,7.312869399999999
Oman,7.304850400000001
Kazakhstan,7.1980868000000005
Faroe Islands,7.101612
Luxembourg,6.9107939
Curacao,6.283179199999999
Mongolia,6.27740775
South Korea,6.045311700000001
Palau,6.035173299999999
Taiwan,5.871163999999999
Russia,5.7885588
Turkmenistan,5.4018868
Saint Pierre and Miquelon,5.1863829
Greenland,4.97896695
Iceland,4.83442
Czechia,4.69245545
Estonia,4.53818044
Libya,4.4882582
Anguilla,4.4821611
Japan,4.3150454
Singapore,4.19470169
Poland,4.159698400000001
Germany,4.15036794
Malaysia,4.123962000000001
Bermuda,4.12069187
Belgium,4.11797366
Aruba,4.1130367
Netherlands,4.09025132
Turks and Caicos Islands,4.0560545
Iran,3.9723994400000002
Norway,3.9126950199999997
China,3.8449073999999994
Ireland,3.80454394
South Africa,3.6910477900000003
Austria,3.64345651
Finland,3.6185726000000003
New Zealand,3.44827979
Antigua and Barbuda,3.3180701900000003
Israel,3.2639707200000005
Slovenia,3.17698027
Belarus,3.1488933699999997
Bosnia and Herzegovina,3.11612215
Slovakia,3.10280698
Bulgaria,3.02767002
Serbia,3.01254337
Seychelles,2.9648160499999996
Greece,2.9515843100000003
Cyprus,2.88330709
Italy,2.8058113399999995
Bahamas,2.7786888100000002
Andorra,2.6943706
Denmark,2.61970991
Montserrat,2.60212004
United Kingdom,2.592795
British Virgin Islands,2.58966952
Spain,2.55825095
Turkey,2.52735866
Barbados,2.5000540599999996
Saint Kitts and Nevis,2.46536867
Suriname,2.4526942600000003
Kosovo,2.4433894700000005
Hungary,2.44190414
Hong Kong,2.42045233
Lithuania,2.3841368
France,2.36331163
Ukraine,2.3327909599999996
Chile,2.2371942299999996
Nauru,2.1718843600000004
Portugal,2.15889718
Cook Islands,2.14892714
Croatia,2.1338817900000002
Lebanon,2.1319884300000003
Niue,2.10490384
Bonaire Sint Eustatius and Saba,2.07691217
Iraq,2.0741939900000004
Switzerland,2.0741154899999996
Argentina,2.0189838399999998
Algeria,2.01833882
Romania,1.95733587
Guyana,1.94391561
Thailand,1.93185171
Latvia,1.91695043
Sweden,1.8955703999999998
Montenegro,1.88830098
Liechtenstein,1.88167689
Mexico,1.87617015
Azerbaijan,1.8000061500000002
North Macedonia,1.7348056799999998
Maldives,1.71761461
Vietnam,1.7159963899999997
Marshall Islands,1.7104603399999998
Equatorial Guinea,1.69226784
Uzbekistan,1.66082912
Mauritius,1.6282708999999997
Malta,1.5673074599999999
Saint Helena,1.45938153
Laos,1.45174711
French Polynesia,1.4422938
Georgia,1.42670721
Venezuela,1.3832474199999998
Saint Lucia,1.35808122
Panama,1.35377364
Tunisia,1.32243774
Botswana,1.3163942299999998
Grenada,1.2913093400000002
Jamaica,1.2579167999999998
Gabon,1.24026028
Indonesia,1.1763666799999999
Armenia,1.15407443
Egypt,1.14871843
Dominican Republic,1.13810149
Saint Vincent and the Grenadines,1.1370932599999999
Brazil,1.11602602
Wallis and Futuna,1.11262655
Dominica,1.10758354
Ecuador,1.09837125
Jordan,1.07118099
Uruguay,1.03700368
North Korea,0.97601874
Cuba,0.9649835699999999
India,0.9413989199999999
Colombia,0.91937678
Morocco,0.91730871
Bolivia,0.8950273
Moldova,0.8684158700000001
Albania,0.8592602899999999
Belize,0.84971236
Peru,0.83865345
Macao,0.8332612899999999
Tonga,0.8136820199999999
Namibia,0.79016484
Bhutan,0.77453448
Costa Rica,0.7431745999999999
Kyrgyzstan,0.7395410299999999
Syria,0.68960465
Micronesia (country),0.65868478
Fiji,0.65276658
Paraguay,0.6374665899999999
Philippines,0.63486665
Congo,0.62959223
Samoa,0.5815431400000001
El Salvador,0.56512151
Lesotho,0.55624736
Cambodia,0.555802
Guatemala,0.542993224
Honduras,0.519846854
Tuvalu,0.50239016
Tajikistan,0.48361192299999994
Eswatini,0.477548829
Cape Verde,0.47105468300000003
Sri Lanka,0.45793905599999996
Mauritania,0.45570224899999995
Pakistan,0.455357973
Papua New Guinea,0.399676173
Nicaragua,0.386238196
Senegal,0.35379969
Palestine,0.32774562500000004
Myanmar,0.323419985
Sao Tome and Principe,0.319602276
Vanuatu,0.30872253
Benin,0.30852384999999993
Nigeria,0.295656673
Zimbabwe,0.29170197600000003
Ghana,0.28687796200000004
Bangladesh,0.28520709699999997
Angola,0.273993436
Kiribati,0.264407227
Nepal,0.252546114
East Timor,0.25149172399999997
Sudan,0.243903983
Comoros,0.22425044700000002
Zambia,0.21585324899999997
Solomon Islands,0.213110521
Kenya,0.21099559
Cote d'Ivoire,0.20634926999999997
Djibouti,0.199547384
Cameroon,0.184443072
Yemen,0.17772004300000002
Guinea,0.161417148
Afghanistan,0.149499738
Mali,0.146006447
Togo,0.143081763
Gambia,0.139194855
Burkina Faso,0.127883171
Haiti,0.12319482899999998
Mozambique,0.11441274900000001
Tanzania,0.114311804
Eritrea,0.09289147300000002
South Sudan,0.08367028299999998
Guinea-Bissau,0.078362266
Liberia,0.077399917
Ethiopia,0.07538505300000001
Madagascar,0.073251947
Chad,0.07097456099999999
Uganda,0.06506670449999999
Sierra Leone,0.0643318396
Rwanda,0.05417738749999999
Niger,0.053987180999999995
Malawi,0.0484209805
Burundi,0.0300026432
Central African Republic,0.0217551484
Democratic Republic of Congo,0.0196132274
Somalia,0.019226376
