Entity,Code,Year,Annual CO2 emissions including land-use change,Annual CO2 emissions from land-use change,Annual CO2 emissions,Continent
China,CHN,2016,9978355000.0,213326240.0,9765029000.0,Asia
United States,USA,2016,5320760300.0,67828450.0,5252932000.0,North America
India,IND,2016,2519178000.0,164519940.0,2354658000.0,Asia
Russia,RUS,2016,2051961300.0,417076320.0,1634885000.0,Europe
Japan,JPN,2016,1199069600.0,-3385023.0,1202454500.0,Asia
Germany,DEU,2016,796912260.0,-4832339.5,801744600.0,Europe
Saudi Arabia,SAU,2016,698901060.0,1480769.0,697420300.0,Asia
South Korea,KOR,2016,632877060.0,-5036974.0,637914050.0,Asia
Iran,IRN,2016,609816700.0,-24010156.0,633826900.0,Asia
Canada,CAN,2016,674550300.0,116860570.0,557689700.0,North America
