Entity,Code,Year,Annual CO₂ emissions (per capita)
High-income countries,,1750,0.056684148
High-income countries,,1760,0.061903786
High-income countries,,1770,0.07456725
High-income countries,,1780,0.087254226
High-income countries,,1790,0.10800384
High-income countries,,1800,0.16951261
High-income countries,,1801,0.16441928
High-income countries,,1802,0.20593195
High-income countries,,1803,0.14996637
High-income countries,,1804,0.1602864
High-income countries,,1805,0.15668845
High-income countries,,1806,0.16293992
High-income countries,,1807,0.17921612
High-income countries,,1808,0.17461832
High-income countries,,1809,0.17758769
High-income countries,,1810,0.19130826
High-income countries,,1811,0.19297595
High-income countries,,1812,0.19417302
High-income countries,,1813,0.19400124
High-income countries,,1814,0.19670106
High-income countries,,1815,0.20084605
High-income countries,,1816,0.20733319
High-income countries,,1817,0.22202967
High-income countries,,1818,0.22890447
High-income countries,,1819,0.22438103
High-income countries,,1820,0.22117804
High-income countries,,1821,0.22484004
High-income countries,,1822,0.23124044
High-income countries,,1823,0.23929422
High-income countries,,1824,0.24250682
High-income countries,,1825,0.2536623
High-income countries,,1826,0.25421712
High-income countries,,1827,0.26994857
High-income countries,,1828,0.2714859
High-income countries,,1829,0.26769772
High-income countries,,1830,0.3561572
High-income countries,,1831,0.33059973
High-income countries,,1832,0.32348093
High-income countries,,1833,0.3255038
High-income countries,,1834,0.34446737
High-income countries,,1835,0.37501898
High-income countries,,1836,0.4084296
High-income countries,,1837,0.40259904
High-income countries,,1838,0.3981
High-income countries,,1839,0.4092823
High-income countries,,1840,0.44015896
High-income countries,,1841,0.44951165
High-income countries,,1842,0.47289893
High-income countries,,1843,0.48053434
High-income countries,,1844,0.51205856
High-income countries,,1845,0.5555988
High-income countries,,1846,0.5612009
High-income countries,,1847,0.60366064
High-income countries,,1848,0.60949117
High-income countries,,1849,0.644773
High-income countries,,1850,0.6803433
High-income countries,,1851,0.6825642
High-income countries,,1852,0.70726264
High-income countries,,1853,0.73462796
High-income countries,,1854,0.85615087
High-income countries,,1855,0.8651624
High-income countries,,1856,0.91612744
High-income countries,,1857,0.9173472
High-income countries,,1858,0.92099756
High-income countries,,1859,0.96821934
High-income countries,,1860,1.0535085
High-income countries,,1861,1.0986695
High-income countries,,1862,1.1110064
High-income countries,,1863,1.1757032
High-income countries,,1864,1.257452
High-income countries,,1865,1.3240764
High-income countries,,1866,1.3489677
High-income countries,,1867,1.4340045
High-income countries,,1868,1.4639492
High-income countries,,1869,1.5389042
High-income countries,,1870,1.5583186
High-income countries,,1871,1.6388354
High-income countries,,1872,1.79849
High-income countries,,1873,1.895393
High-income countries,,1874,1.7550961
High-income countries,,1875,1.8850116
High-income countries,,1876,1.890203
High-income countries,,1877,1.9093812
High-income countries,,1878,1.8950697
High-income countries,,1879,2.0129268
High-income countries,,1880,2.2505546
High-income countries,,1881,2.3066092
High-income countries,,1882,2.4133143
High-income countries,,1883,2.539306
High-income countries,,1884,2.542969
High-income countries,,1885,2.5343766
High-income countries,,1886,2.548098
High-income countries,,1887,2.6456926
High-income countries,,1888,2.904632
High-income countries,,1889,2.8687153
High-income countries,,1890,3.0900445
High-income countries,,1891,3.2012043
High-income countries,,1892,3.1881013
High-income countries,,1893,3.0991895
High-income countries,,1894,3.176996
High-income countries,,1895,3.3233461
High-income countries,,1896,3.397334
High-income countries,,1897,3.5122564
High-income countries,,1898,3.6555383
High-income countries,,1899,3.9462883
High-income countries,,1900,4.106429
High-income countries,,1901,4.1874743
High-income countries,,1902,4.2521906
High-income countries,,1903,4.59935
High-income countries,,1904,4.5762844
High-income countries,,1905,4.8467245
High-income countries,,1906,4.9802413
High-income countries,,1907,5.5779967
High-income countries,,1908,5.268042
High-income countries,,1909,5.430668
High-income countries,,1910,5.658989
High-income countries,,1911,5.688109
High-income countries,,1912,5.941306
High-income countries,,1913,6.384398
High-income countries,,1914,5.7498446
High-income countries,,1915,5.6476126
High-income countries,,1916,6.0698524
High-income countries,,1917,6.3291073
High-income countries,,1918,6.29482
High-income countries,,1919,5.3433895
High-income countries,,1920,6.1624417
High-income countries,,1921,5.273324
High-income countries,,1922,5.4926004
High-income countries,,1923,6.217037
High-income countries,,1924,6.1413317
